fitment_id,bike_id,product_id,fitment_year_start,fitment_year_end,verification_status,source_url,source_checked_on,fitment_notes
aprilia-rsv4-current-2021-2026-akrapovic-evolution-line-2021-2026,aprilia-rsv4-current-2021-2026,akrapovic-evolution-line,2021,2026,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-rsv4-current-2021-2026-akrapovic-racing-line-2021-2026,aprilia-rsv4-current-2021-2026,akrapovic-racing-line,2021,2026,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-rsv4-current-2021-2026-akrapovic-slip-on-line-2021-2026,aprilia-rsv4-current-2021-2026,akrapovic-slip-on-line,2021,2026,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-rsv4-current-2021-2026-akrapovic-track-day-link-pipe-2021-2026,aprilia-rsv4-current-2021-2026,akrapovic-track-day-link-pipe,2021,2026,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-rsv4-current-2021-2026-arrow-competition-full-system-2021-2026,aprilia-rsv4-current-2021-2026,arrow-competition-full-system,2021,2026,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-rsv4-current-2021-2026-arrow-race-tech-2021-2026,aprilia-rsv4-current-2021-2026,arrow-race-tech,2021,2026,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-rsv4-current-2021-2026-sc-project-cr-t-2021-2026,aprilia-rsv4-current-2021-2026,sc-project-cr-t,2021,2026,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-rsv4-current-2021-2026-sc-project-crt-mid-pipe-kit-2021-2026,aprilia-rsv4-current-2021-2026,sc-project-crt-mid-pipe-kit,2021,2026,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-rsv4-current-2021-2026-sc-project-sc1-m-2021-2026,aprilia-rsv4-current-2021-2026,sc-project-sc1-m,2021,2026,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-rsv4-current-2021-2026-sc-project-sc1-r-2021-2026,aprilia-rsv4-current-2021-2026,sc-project-sc1-r,2021,2026,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-rsv4-launch-2010-2014-akrapovic-evolution-line-2010-2014,aprilia-rsv4-launch-2010-2014,akrapovic-evolution-line,2010,2014,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-rsv4-launch-2010-2014-akrapovic-racing-line-2010-2014,aprilia-rsv4-launch-2010-2014,akrapovic-racing-line,2010,2014,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-rsv4-launch-2010-2014-akrapovic-road-legal-line-2010-2014,aprilia-rsv4-launch-2010-2014,akrapovic-road-legal-line,2010,2014,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-rsv4-launch-2010-2014-akrapovic-slip-on-line-2010-2014,aprilia-rsv4-launch-2010-2014,akrapovic-slip-on-line,2010,2014,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-rsv4-launch-2010-2014-arrow-pro-race-2010-2014,aprilia-rsv4-launch-2010-2014,arrow-pro-race,2010,2014,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-rsv4-launch-2010-2014-arrow-x-kone-2010-2014,aprilia-rsv4-launch-2010-2014,arrow-x-kone,2010,2014,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-rsv4-launch-2010-2014-sc-project-cr-t-2010-2014,aprilia-rsv4-launch-2010-2014,sc-project-cr-t,2010,2014,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-rsv4-launch-2010-2014-sc-project-crt-mid-pipe-kit-2010-2014,aprilia-rsv4-launch-2010-2014,sc-project-crt-mid-pipe-kit,2010,2014,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-rsv4-launch-2010-2014-sc-project-sc1-m-2010-2014,aprilia-rsv4-launch-2010-2014,sc-project-sc1-m,2010,2014,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-rsv4-launch-2010-2014-sc-project-sc1-r-2010-2014,aprilia-rsv4-launch-2010-2014,sc-project-sc1-r,2010,2014,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-rsv4-rf-rr-2015-2020-akrapovic-evolution-line-2015-2020,aprilia-rsv4-rf-rr-2015-2020,akrapovic-evolution-line,2015,2020,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-rsv4-rf-rr-2015-2020-akrapovic-racing-line-2015-2020,aprilia-rsv4-rf-rr-2015-2020,akrapovic-racing-line,2015,2020,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-rsv4-rf-rr-2015-2020-akrapovic-road-legal-line-2015-2020,aprilia-rsv4-rf-rr-2015-2020,akrapovic-road-legal-line,2015,2020,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-rsv4-rf-rr-2015-2020-akrapovic-slip-on-line-2015-2020,aprilia-rsv4-rf-rr-2015-2020,akrapovic-slip-on-line,2015,2020,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-rsv4-rf-rr-2015-2020-akrapovic-track-day-link-pipe-2015-2020,aprilia-rsv4-rf-rr-2015-2020,akrapovic-track-day-link-pipe,2015,2020,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-rsv4-rf-rr-2015-2020-arrow-competition-full-system-2015-2020,aprilia-rsv4-rf-rr-2015-2020,arrow-competition-full-system,2015,2020,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-rsv4-rf-rr-2015-2020-sc-project-cr-t-2015-2020,aprilia-rsv4-rf-rr-2015-2020,sc-project-cr-t,2015,2020,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-rsv4-rf-rr-2015-2020-sc-project-crt-mid-pipe-kit-2015-2020,aprilia-rsv4-rf-rr-2015-2020,sc-project-crt-mid-pipe-kit,2015,2020,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-rsv4-rf-rr-2015-2020-sc-project-sc1-m-2015-2020,aprilia-rsv4-rf-rr-2015-2020,sc-project-sc1-m,2015,2020,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-rsv4-rf-rr-2015-2020-sc-project-sc1-r-2015-2020,aprilia-rsv4-rf-rr-2015-2020,sc-project-sc1-r,2015,2020,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-shiver-900-launch-2018-2020-akrapovic-racing-line-2018-2020,aprilia-shiver-900-launch-2018-2020,akrapovic-racing-line,2018,2020,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-shiver-900-launch-2018-2020-akrapovic-road-legal-line-2018-2020,aprilia-shiver-900-launch-2018-2020,akrapovic-road-legal-line,2018,2020,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-shiver-900-launch-2018-2020-akrapovic-slip-on-line-2018-2020,aprilia-shiver-900-launch-2018-2020,akrapovic-slip-on-line,2018,2020,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-shiver-900-launch-2018-2020-arrow-competition-full-system-2018-2020,aprilia-shiver-900-launch-2018-2020,arrow-competition-full-system,2018,2020,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-shiver-900-launch-2018-2020-arrow-race-tech-2018-2020,aprilia-shiver-900-launch-2018-2020,arrow-race-tech,2018,2020,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-shiver-900-launch-2018-2020-arrow-x-kone-2018-2020,aprilia-shiver-900-launch-2018-2020,arrow-x-kone,2018,2020,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-shiver-900-launch-2018-2020-sc-project-cr-t-2018-2020,aprilia-shiver-900-launch-2018-2020,sc-project-cr-t,2018,2020,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-shiver-900-launch-2018-2020-sc-project-crt-mid-pipe-kit-2018-2020,aprilia-shiver-900-launch-2018-2020,sc-project-crt-mid-pipe-kit,2018,2020,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-shiver-900-launch-2018-2020-sc-project-sc1-m-2018-2020,aprilia-shiver-900-launch-2018-2020,sc-project-sc1-m,2018,2020,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-shiver-900-launch-2018-2020-sc-project-sc1-r-2018-2020,aprilia-shiver-900-launch-2018-2020,sc-project-sc1-r,2018,2020,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-tuareg-660-launch-2022-2026-akrapovic-adventure-hexagonal-2022-2026,aprilia-tuareg-660-launch-2022-2026,akrapovic-adventure-hexagonal,2022,2026,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-tuareg-660-launch-2022-2026-akrapovic-racing-line-2022-2026,aprilia-tuareg-660-launch-2022-2026,akrapovic-racing-line,2022,2026,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-tuareg-660-launch-2022-2026-akrapovic-slip-on-line-2022-2026,aprilia-tuareg-660-launch-2022-2026,akrapovic-slip-on-line,2022,2026,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-tuareg-660-launch-2022-2026-arrow-adventure-full-kit-2022-2026,aprilia-tuareg-660-launch-2022-2026,arrow-adventure-full-kit,2022,2026,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-tuareg-660-launch-2022-2026-arrow-race-tech-2022-2026,aprilia-tuareg-660-launch-2022-2026,arrow-race-tech,2022,2026,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-tuareg-660-launch-2022-2026-arrow-x-kone-2022-2026,aprilia-tuareg-660-launch-2022-2026,arrow-x-kone,2022,2026,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-tuareg-660-launch-2022-2026-delkevic-adventure-14-2022-2026,aprilia-tuareg-660-launch-2022-2026,delkevic-adventure-14,2022,2026,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-tuareg-660-launch-2022-2026-leovince-x3-2022-2026,aprilia-tuareg-660-launch-2022-2026,leovince-x3,2022,2026,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-tuareg-660-launch-2022-2026-sc-project-adventure-r-2022-2026,aprilia-tuareg-660-launch-2022-2026,sc-project-adventure-r,2022,2026,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-tuareg-660-launch-2022-2026-sc-project-s1-2022-2026,aprilia-tuareg-660-launch-2022-2026,sc-project-s1,2022,2026,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-tuono-660-current-2024-2026-akrapovic-evolution-line-2024-2026,aprilia-tuono-660-current-2024-2026,akrapovic-evolution-line,2024,2026,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-tuono-660-current-2024-2026-akrapovic-racing-line-2024-2026,aprilia-tuono-660-current-2024-2026,akrapovic-racing-line,2024,2026,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-tuono-660-current-2024-2026-akrapovic-slip-on-line-2024-2026,aprilia-tuono-660-current-2024-2026,akrapovic-slip-on-line,2024,2026,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-tuono-660-current-2024-2026-akrapovic-track-day-link-pipe-2024-2026,aprilia-tuono-660-current-2024-2026,akrapovic-track-day-link-pipe,2024,2026,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-tuono-660-current-2024-2026-arrow-competition-full-system-2024-2026,aprilia-tuono-660-current-2024-2026,arrow-competition-full-system,2024,2026,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-tuono-660-current-2024-2026-arrow-race-tech-2024-2026,aprilia-tuono-660-current-2024-2026,arrow-race-tech,2024,2026,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-tuono-660-current-2024-2026-sc-project-cr-t-2024-2026,aprilia-tuono-660-current-2024-2026,sc-project-cr-t,2024,2026,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-tuono-660-current-2024-2026-sc-project-crt-mid-pipe-kit-2024-2026,aprilia-tuono-660-current-2024-2026,sc-project-crt-mid-pipe-kit,2024,2026,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-tuono-660-current-2024-2026-sc-project-sc1-m-2024-2026,aprilia-tuono-660-current-2024-2026,sc-project-sc1-m,2024,2026,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-tuono-660-current-2024-2026-sc-project-sc1-r-2024-2026,aprilia-tuono-660-current-2024-2026,sc-project-sc1-r,2024,2026,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-tuono-660-launch-2021-2023-akrapovic-evolution-line-2021-2023,aprilia-tuono-660-launch-2021-2023,akrapovic-evolution-line,2021,2023,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-tuono-660-launch-2021-2023-akrapovic-racing-line-2021-2023,aprilia-tuono-660-launch-2021-2023,akrapovic-racing-line,2021,2023,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-tuono-660-launch-2021-2023-akrapovic-road-legal-line-2021-2023,aprilia-tuono-660-launch-2021-2023,akrapovic-road-legal-line,2021,2023,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-tuono-660-launch-2021-2023-akrapovic-track-day-link-pipe-2021-2023,aprilia-tuono-660-launch-2021-2023,akrapovic-track-day-link-pipe,2021,2023,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-tuono-660-launch-2021-2023-arrow-competition-full-system-2021-2023,aprilia-tuono-660-launch-2021-2023,arrow-competition-full-system,2021,2023,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-tuono-660-launch-2021-2023-arrow-x-kone-2021-2023,aprilia-tuono-660-launch-2021-2023,arrow-x-kone,2021,2023,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-tuono-660-launch-2021-2023-sc-project-cr-t-2021-2023,aprilia-tuono-660-launch-2021-2023,sc-project-cr-t,2021,2023,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-tuono-660-launch-2021-2023-sc-project-crt-mid-pipe-kit-2021-2023,aprilia-tuono-660-launch-2021-2023,sc-project-crt-mid-pipe-kit,2021,2023,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-tuono-660-launch-2021-2023-sc-project-sc1-m-2021-2023,aprilia-tuono-660-launch-2021-2023,sc-project-sc1-m,2021,2023,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-tuono-660-launch-2021-2023-sc-project-sc1-r-2021-2023,aprilia-tuono-660-launch-2021-2023,sc-project-sc1-r,2021,2023,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-tuono-v4-1100-2017-2020-akrapovic-evolution-line-2017-2020,aprilia-tuono-v4-1100-2017-2020,akrapovic-evolution-line,2017,2020,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-tuono-v4-1100-2017-2020-akrapovic-road-legal-line-2017-2020,aprilia-tuono-v4-1100-2017-2020,akrapovic-road-legal-line,2017,2020,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-tuono-v4-1100-2017-2020-akrapovic-slip-on-line-2017-2020,aprilia-tuono-v4-1100-2017-2020,akrapovic-slip-on-line,2017,2020,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-tuono-v4-1100-2017-2020-akrapovic-track-day-link-pipe-2017-2020,aprilia-tuono-v4-1100-2017-2020,akrapovic-track-day-link-pipe,2017,2020,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-tuono-v4-1100-2017-2020-arrow-competition-full-system-2017-2020,aprilia-tuono-v4-1100-2017-2020,arrow-competition-full-system,2017,2020,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-tuono-v4-1100-2017-2020-arrow-x-kone-2017-2020,aprilia-tuono-v4-1100-2017-2020,arrow-x-kone,2017,2020,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-tuono-v4-1100-2017-2020-sc-project-cr-t-2017-2020,aprilia-tuono-v4-1100-2017-2020,sc-project-cr-t,2017,2020,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-tuono-v4-1100-2017-2020-sc-project-crt-mid-pipe-kit-2017-2020,aprilia-tuono-v4-1100-2017-2020,sc-project-crt-mid-pipe-kit,2017,2020,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-tuono-v4-1100-2017-2020-sc-project-sc1-m-2017-2020,aprilia-tuono-v4-1100-2017-2020,sc-project-sc1-m,2017,2020,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-tuono-v4-1100-2017-2020-sc-project-sc1-r-2017-2020,aprilia-tuono-v4-1100-2017-2020,sc-project-sc1-r,2017,2020,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-tuono-v4-current-2021-2026-akrapovic-evolution-line-2021-2026,aprilia-tuono-v4-current-2021-2026,akrapovic-evolution-line,2021,2026,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-tuono-v4-current-2021-2026-akrapovic-racing-line-2021-2026,aprilia-tuono-v4-current-2021-2026,akrapovic-racing-line,2021,2026,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-tuono-v4-current-2021-2026-akrapovic-road-legal-line-2021-2026,aprilia-tuono-v4-current-2021-2026,akrapovic-road-legal-line,2021,2026,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-tuono-v4-current-2021-2026-akrapovic-track-day-link-pipe-2021-2026,aprilia-tuono-v4-current-2021-2026,akrapovic-track-day-link-pipe,2021,2026,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-tuono-v4-current-2021-2026-arrow-competition-full-system-2021-2026,aprilia-tuono-v4-current-2021-2026,arrow-competition-full-system,2021,2026,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-tuono-v4-current-2021-2026-arrow-race-tech-2021-2026,aprilia-tuono-v4-current-2021-2026,arrow-race-tech,2021,2026,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-tuono-v4-current-2021-2026-sc-project-cr-t-2021-2026,aprilia-tuono-v4-current-2021-2026,sc-project-cr-t,2021,2026,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-tuono-v4-current-2021-2026-sc-project-crt-mid-pipe-kit-2021-2026,aprilia-tuono-v4-current-2021-2026,sc-project-crt-mid-pipe-kit,2021,2026,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-tuono-v4-current-2021-2026-sc-project-sc1-m-2021-2026,aprilia-tuono-v4-current-2021-2026,sc-project-sc1-m,2021,2026,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-tuono-v4-current-2021-2026-sc-project-sc1-r-2021-2026,aprilia-tuono-v4-current-2021-2026,sc-project-sc1-r,2021,2026,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-tuono-v4-launch-2012-2016-akrapovic-evolution-line-2012-2016,aprilia-tuono-v4-launch-2012-2016,akrapovic-evolution-line,2012,2016,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-tuono-v4-launch-2012-2016-akrapovic-racing-line-2012-2016,aprilia-tuono-v4-launch-2012-2016,akrapovic-racing-line,2012,2016,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-tuono-v4-launch-2012-2016-akrapovic-slip-on-line-2012-2016,aprilia-tuono-v4-launch-2012-2016,akrapovic-slip-on-line,2012,2016,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-tuono-v4-launch-2012-2016-akrapovic-track-day-link-pipe-2012-2016,aprilia-tuono-v4-launch-2012-2016,akrapovic-track-day-link-pipe,2012,2016,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-tuono-v4-launch-2012-2016-arrow-competition-full-system-2012-2016,aprilia-tuono-v4-launch-2012-2016,arrow-competition-full-system,2012,2016,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
aprilia-tuono-v4-launch-2012-2016-arrow-race-tech-2012-2016,aprilia-tuono-v4-launch-2012-2016,arrow-race-tech,2012,2016,candidate,,,Rule-based candidate fitment. Verify exact part number before purchase.
